model	batch_number	within_batch_id	commonsense_level	anonymized_worker_id	completion_time	rating_label	rating_expl	rating_grammar	rating_commonsense	pairID	premise	hypothesis	pred_label	pred_expl	gt_label	gt_expl
comet	1	1	low	8883640198718097112	5.92	correct	wrong	correct	no	4898966335.jpg#1r1c	A young girl in glasses observes something in the distance .	A girl sleeping on the ground .	contradiction	a girl who sleeps can not be the same as a girl who sleeps	contradiction	the girl can not be sleeping while she observes something in the distance .
comet	1	2	high	8883640198718097112	5.92	correct	wrong	wrong	no	4519321887.jpg#3r1n	A couple of females are talking to each other while one is flicking her cigarette .	The other likes to smoke as well .	neutral	not all women who smoke each other	neutral	you can not infer they like to smoke .
comet	1	3	low	8883640198718097112	5.92	correct	wrong	correct	no	2563225490.jpg#1r1c	A person is posed with one leg raised and one arm out at a competition with their teammates in the background .	A man posed with both arms out at a competition .	entailment	a man is a person	contradiction	one leg raised and one arm out versus both arms out .
comet	1	4	high	8883640198718097112	5.92	correct	wrong	correct	no	5504028572.jpg#1r1e	A young boy sits curiously on a rock near the water , looking at his reflection .	A kid is outside looking into the water .	entailment	a young boy is a kid and a kid is a kid ; if he is sitting on a rock , he is outside	entailment	a kid sitting on a rock near water and looking at his reflection is obviously outside
comet	1	5	low	8883640198718097112	5.92	correct	correct	correct	yes	517259709.jpg#4r1c	A man grilling a hamburger .	The man is swimming at the bottom of the ocean .	contradiction	the man can not be swimming and grilling at the same time	contradiction	grilling and swimming are different activities ;  one can not be grilling a hamburger while at the bottom of the ocean .
comet	1	6	high	8883640198718097112	5.92	correct	correct	correct	yes	8169402416.jpg#0r1n	Two performers , one man playing a guitar , and one woman with a mic raised to her mouth are sitting on chairs performing .	The man and woman are doing karaoke together at a bar .	neutral	just because a man and woman are performing together does not mean they are performing karaoke together	neutral	not all woman performing are doing karaoke and the setting is not necessarily a bar .
comet	1	7	low	8883640198718097112	5.92	correct	wrong	correct	no	3388330419.jpg#3r1e	two little girls dancing on the floor	Two kids jiving on the dance floor .	neutral	dancing does not imply dancing	neutral	kids can dance without jiving .
comet	1	8	high	8883640198718097112	5.92	correct	wrong	wrong	no	4696106624.jpg#0r1n	A man , boy and a white dog are looking at a display of postcards .	A man has his boy and his dog out enjoying time spent together while shopping .	neutral	just because a man and a boy are looking at a dog does not mean they are enjoying their dog	neutral	only because persons are looking at a display of postcards does n't necessary imply they are shopping .
comet	1	9	low	8883640198718097112	5.92	correct	wrong	correct	no	3726170067.jpg#1r1e	A balding man with glasses stands in front of a colorful display .	A person is standing upright .	entailment	a man is a person	entailment	a man is a person ; that a man stands establishes that a person is standing ; standing is 'upright ' by default ; if it were n't upright there would be a verb more appropriate than 'standing ' .
comet	1	10	high	8883640198718097112	5.92	correct	wrong	wrong	no	2897978268.jpg#2r1n	A man visiting a friend in the hospital .	A man and a patient in a hospital room .	entailment	a man is a guy and a hospital is a hospital	entailment	visiting a friend who is a patient usually happen in the hospital .
comet	1	1	low	8341808113942892450	14.82	correct	correct	correct	no_need	4898966335.jpg#1r1c	A young girl in glasses observes something in the distance .	A girl sleeping on the ground .	contradiction	a girl who sleeps can not be the same as a girl who sleeps	contradiction	the girl can not be sleeping while she observes something in the distance .
comet	1	2	high	8341808113942892450	14.82	correct	correct	correct	no_need	4519321887.jpg#3r1n	A couple of females are talking to each other while one is flicking her cigarette .	The other likes to smoke as well .	neutral	not all women who smoke each other	neutral	you can not infer they like to smoke .
comet	1	3	low	8341808113942892450	14.82	correct	correct	correct	no_need	2563225490.jpg#1r1c	A person is posed with one leg raised and one arm out at a competition with their teammates in the background .	A man posed with both arms out at a competition .	entailment	a man is a person	contradiction	one leg raised and one arm out versus both arms out .
comet	1	4	high	8341808113942892450	14.82	correct	correct	correct	no_need	5504028572.jpg#1r1e	A young boy sits curiously on a rock near the water , looking at his reflection .	A kid is outside looking into the water .	entailment	a young boy is a kid and a kid is a kid ; if he is sitting on a rock , he is outside	entailment	a kid sitting on a rock near water and looking at his reflection is obviously outside
comet	1	5	low	8341808113942892450	14.82	correct	correct	correct	no_need	517259709.jpg#4r1c	A man grilling a hamburger .	The man is swimming at the bottom of the ocean .	contradiction	the man can not be swimming and grilling at the same time	contradiction	grilling and swimming are different activities ;  one can not be grilling a hamburger while at the bottom of the ocean .
comet	1	6	high	8341808113942892450	14.82	correct	correct	correct	no_need	8169402416.jpg#0r1n	Two performers , one man playing a guitar , and one woman with a mic raised to her mouth are sitting on chairs performing .	The man and woman are doing karaoke together at a bar .	neutral	just because a man and woman are performing together does not mean they are performing karaoke together	neutral	not all woman performing are doing karaoke and the setting is not necessarily a bar .
comet	1	7	low	8341808113942892450	14.82	correct	correct	correct	no_need	3388330419.jpg#3r1e	two little girls dancing on the floor	Two kids jiving on the dance floor .	neutral	dancing does not imply dancing	neutral	kids can dance without jiving .
comet	1	8	high	8341808113942892450	14.82	correct	correct	correct	no_need	4696106624.jpg#0r1n	A man , boy and a white dog are looking at a display of postcards .	A man has his boy and his dog out enjoying time spent together while shopping .	neutral	just because a man and a boy are looking at a dog does not mean they are enjoying their dog	neutral	only because persons are looking at a display of postcards does n't necessary imply they are shopping .
comet	1	9	low	8341808113942892450	14.82	correct	correct	correct	no_need	3726170067.jpg#1r1e	A balding man with glasses stands in front of a colorful display .	A person is standing upright .	entailment	a man is a person	entailment	a man is a person ; that a man stands establishes that a person is standing ; standing is 'upright ' by default ; if it were n't upright there would be a verb more appropriate than 'standing ' .
comet	1	10	high	8341808113942892450	14.82	correct	correct	correct	no_need	2897978268.jpg#2r1n	A man visiting a friend in the hospital .	A man and a patient in a hospital room .	entailment	a man is a guy and a hospital is a hospital	entailment	visiting a friend who is a patient usually happen in the hospital .
comet	1	1	low	8689910435875261909	17.3	correct	wrong	wrong	no	4898966335.jpg#1r1c	A young girl in glasses observes something in the distance .	A girl sleeping on the ground .	contradiction	a girl who sleeps can not be the same as a girl who sleeps	contradiction	the girl can not be sleeping while she observes something in the distance .
comet	1	2	high	8689910435875261909	17.3	correct	wrong	wrong	no	4519321887.jpg#3r1n	A couple of females are talking to each other while one is flicking her cigarette .	The other likes to smoke as well .	neutral	not all women who smoke each other	neutral	you can not infer they like to smoke .
comet	1	3	low	8689910435875261909	17.3	correct	wrong	wrong	yes	2563225490.jpg#1r1c	A person is posed with one leg raised and one arm out at a competition with their teammates in the background .	A man posed with both arms out at a competition .	entailment	a man is a person	contradiction	one leg raised and one arm out versus both arms out .
comet	1	4	high	8689910435875261909	17.3	correct	correct	correct	yes	5504028572.jpg#1r1e	A young boy sits curiously on a rock near the water , looking at his reflection .	A kid is outside looking into the water .	entailment	a young boy is a kid and a kid is a kid ; if he is sitting on a rock , he is outside	entailment	a kid sitting on a rock near water and looking at his reflection is obviously outside
comet	1	5	low	8689910435875261909	17.3	correct	correct	wrong	yes	517259709.jpg#4r1c	A man grilling a hamburger .	The man is swimming at the bottom of the ocean .	contradiction	the man can not be swimming and grilling at the same time	contradiction	grilling and swimming are different activities ;  one can not be grilling a hamburger while at the bottom of the ocean .
comet	1	6	high	8689910435875261909	17.3	correct	correct	wrong	yes	8169402416.jpg#0r1n	Two performers , one man playing a guitar , and one woman with a mic raised to her mouth are sitting on chairs performing .	The man and woman are doing karaoke together at a bar .	neutral	just because a man and woman are performing together does not mean they are performing karaoke together	neutral	not all woman performing are doing karaoke and the setting is not necessarily a bar .
